State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,literacy_rate,sex_ratio,Male_literacy_rate,Female_literacy_rate
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,375552,307934,81840,41689,40151,249426,126716,122710,429995,282250,147745,797130,193476,46217,412,1074,250,2410,65.59,96.75,70.9,60.09
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,1710716,921850,788866,266350,136473,129877,115153,57759,57394,979998,766728,213270,1225246,1563203,26844,3036,1073,1162,61,60.58,96.22,64.06,56.97
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,293184,238587,60216,30654,29562,23364,11692,11672,267623,210202,57421,491582,277488,429,62,27,1004,9,68.91,94.86,74.04,63.52
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,620525,488047,109130,55817,53313,232207,117685,114522,770606,537195,233411,1422824,350536,138166,1363,5088,1003,221,57.61,95.56,63.07,51.91
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,798322,453449,344873,37688,19443,18245,82066,41769,40297,557196,366623,190573,1181347,48373,76877,1999,16228,837,395,60.12,95.22,66.66,53.25
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,1195768,727643,468125,382654,198247,184407,38848,19887,18961,1069893,708391,361502,1593525,1207442,4116,371,187,1910,63,42.53,92.13,49.73,34.72
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,1466002,868733,597269,612064,316161,295903,1033,500,533,837770,599157,238613,2291133,237353,2218,295,334,775,19,57.71,92.62,65.88,48.9
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,2503837,1430936,1072901,539368,277228,262140,143366,73876,69490,1575079,1015864,559215,2545438,786677,15991,5142,309093,30981,1005,67.65,92.33,74.35,60.38
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,965321,590961,374360,247858,129663,118195,90432,45901,44531,771080,517817,253263,1772655,250925,6138,139,113,94,1035,47.44,90.67,55.38,38.69
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,1548673,918507,630166,432270,227481,204789,1597,848,749,938182,715345,222837,2554330,407348,2209,402,229,276,57,52.13,89.49,58.59,44.92
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,1615663,1422103,1573066,937669,635397,318569,169667,148902,67180,35545,31635,983528,740056,243472,2487866,537098,3556,415,180,1050,32,51.78,88.02,58.04,44.68
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,973486,625665,425402,222716,202686,13977,7363,6614,822493,640283,182210,2518216,197819,2165,544,647,1472,48,58.61,90.75,68.06,48.2
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,593544,396263,251737,131821,119916,26824,14102,12722,538322,402180,136142,1591454,105423,2125,248,5090,97,57,58.01,92.16,66.84,48.42
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,1816634,1125566,691068,615688,322327,293361,2772,1361,1411,1223640,947927,275713,3042729,881476,3534,832,245,236,101,46.14,91.14,54.64,36.81
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,2297613,1368803,928810,1334351,683943,650408,3098,1635,1463,1664062,1076170,587892,3876395,488121,3943,913,870,1723,108,52.32,93.75,60.39,43.71
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,1267666,1294346,1382998,793905,589093,320064,159265,160799,60807,29833,30974,728201,539586,188615,2119262,436057,2463,271,167,133,28,53.98,102.1,62.63,45.51
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,916064,844341,858588,534385,324203,302649,155849,146800,78793,40185,38608,727571,452288,275283,1525746,217621,8443,162,159,87,3438,48.77,92.17,58.33,38.4
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,585582,539731,618881,374412,244469,222974,115034,107940,1285,667,618,365378,266423,98955,1045117,75742,691,148,248,60,58,55.0,92.17,63.94,45.29
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1600430,1470599,1280190,762256,517934,263100,136429,126671,179971,92190,87781,1013566,760522,253044,1684589,1365645,8659,2754,212,507,2141,41.69,91.89,47.63,35.22
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,883786,783100,768028,461153,306875,247161,130191,116970,675,352,323,560805,398216,162589,1486989,175588,1253,143,79,86,115,46.08,88.61,52.18,39.19
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,866970,823430,745056,439921,305135,113118,57964,55154,64224,32506,31718,529064,421192,107872,531236,1149095,5783,398,183,1476,28,44.08,94.98,50.74,37.06
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,526345,474567,507270,305182,202088,153209,80069,73140,8333,4247,4086,326576,240494,86082,956396,40886,487,140,52,78,52,50.68,90.16,57.98,42.58
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1047559,954203,834577,517666,316911,346275,179337,166938,12532,6442,6090,777546,496046,281500,1753829,241760,1342,170,60,133,81,41.69,91.09,49.42,33.21
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,2329313,2158066,2155338,1340085,815253,587158,303389,283769,3990,2056,1934,1636938,1105947,530991,3652168,818912,3262,564,328,442,169,48.03,92.65,57.53,37.78
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,729041,638724,801817,473741,328076,183846,97195,86651,21404,10995,10409,426658,327453,99205,1252319,110416,1815,338,95,145,61,58.62,87.61,64.98,51.36
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,2527497,2273565,2509232,1487117,1022115,751975,393135,358840,5979,3124,2855,1547586,1195308,352278,4032773,745546,5149,933,288,382,98,52.26,89.95,58.84,44.96
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,1497060,1380593,1519933,919558,600375,607672,315240,292432,1442,728,714,1045420,703405,342015,2669775,198033,1978,393,414,561,64,52.82,92.22,61.42,43.49
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1144668,1074478,1091012,659474,431538,565112,290050,275062,2045,997,1048,817041,539439,277602,1964620,244394,1299,250,176,279,80,49.16,93.87,57.61,40.16
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,2061110,1873932,1759481,1091226,668255,553944,289191,264753,250046,127680,122366,1478947,999282,479665,3047427,865090,8469,926,1337,296,1895,44.71,90.92,52.94,35.66
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,3078512,2759953,3459679,2028047,1431632,920918,482088,438830,9069,4717,4352,1881886,1436411,445475,5356075,439952,12551,4803,1062,2151,203,59.26,89.65,65.88,51.87
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,2681209,2418162,2276957,1407603,869354,649726,340363,309363,12461,6454,6007,1737539,1260774,476765,4086453,990349,4865,668,878,464,104,44.65,90.19,52.5,35.95
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,1699370,1565249,1332326,805261,527065,390991,203201,187790,139490,71391,68099,1143318,803275,340043,1989420,1255641,7989,614,353,1450,650,40.81,92.11,47.39,33.67
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,1543546,1416372,1799832,1061783,738049,549546,286596,262950,31650,16399,15251,924879,707939,216940,2645415,300487,2889,2569,1584,252,537,60.81,91.76,68.79,52.11
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,997174,903487,804996,506374,298622,317249,164518,152731,6009,3101,2908,649898,456724,193174,1629254,266620,1292,197,60,109,8,42.35,90.6,50.78,33.05
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,2230003,2031563,2142880,1293575,849305,803128,417944,385184,1884,975,909,1343400,1037576,305824,3800598,452370,2126,554,292,231,112,50.28,91.1,58.01,41.81
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,2022821,1929041,2157454,1285767,871687,474066,242976,231090,36786,18322,18464,1040231,857660,182571,3534772,406449,2330,371,229,322,107,54.59,95.36,63.56,45.19
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,329743,306599,328676,196431,132245,131115,67582,63533,617,305,312,224655,151569,73086,596102,37653,313,75,41,43,31,51.65,92.98,59.57,43.13
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,346673,309573,283698,171645,112053,96655,51089,45566,318,177,141,216372,166693,49679,552492,99342,522,216,73,52,44,43.23,89.3,49.51,36.2
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,1803252,1620322,1436794,885188,551606,405714,213624,192090,2989,1585,1404,1114583,865929,248654,2672311,740101,2897,261,253,188,20,41.97,89.86,49.09,34.04
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,1675090,1655374,1930175,1115906,814269,386685,195965,190720,87000,43472,43528,932416,730396,202020,2712635,608282,2618,369,407,359,86,57.96,98.82,66.62,49.19
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1155283,1073793,1033283,647672,385611,354249,182545,171704,10168,5242,4926,877682,551718,325964,1809936,409251,3758,271,136,546,42,46.35,92.95,56.06,35.91
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1844535,1650486,1926740,1152576,774164,738031,387827,350204,2274,1232,1042,1060344,858648,201696,3152346,333980,2203,707,362,246,71,55.13,89.48,62.49,46.91
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,580663,474787,805438,465346,340092,199086,106356,92730,0,0,0,404136,328159,75977,852574,51447,8720,138329,1160,1960,246,76.31,81.77,80.14,71.63
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,698487,714712,650863,382335,268528,37963,18815,19148,931780,456841,474939,726531,404364,322167,1277975,12413,27951,2099,985,3466,86925,46.06,102.32,54.74,37.57
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,192764,189192,287620,155599,132021,98989,50271,48718,10693,5485,5208,205871,111543,94328,371973,6984,236,2387,113,10,7,75.3,98.15,80.72,69.78
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,1351574,1312055,1596560,932474,664086,552992,281221,271771,498469,248172,250297,1203197,715467,487730,2540763,57973,20745,6373,2979,2357,29122,59.94,97.08,68.99,50.61
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,397897,401884,546833,303924,242909,58581,28887,29694,207633,102058,105575,402895,226382,176513,777188,10425,2644,1196,667,3612,3685,68.37,101.0,76.38,60.44
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,1682101,1661771,2303378,1284612,1018766,458040,229067,228973,397416,196008,201408,1496805,921729,575076,3129745,83499,24304,24276,19587,17209,42569,68.88,98.79,76.37,61.31
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,424747,426922,495415,280656,214759,48844,24317,24527,530378,262731,267647,487360,263645,223715,629509,15336,189588,474,467,694,14835,58.17,100.51,66.08,50.3
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,612915,593725,748759,433391,315368,124679,63446,61233,493559,246323,247236,521186,333329,187857,1133176,30195,21059,3666,897,753,15649,62.05,96.87,70.71,53.12
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,334737,324180,397823,229923,167900,54776,27682,27094,304280,152659,151621,307071,185483,121588,604259,25878,9398,1391,84,1155,15474,60.38,96.85,68.69,51.79
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,511967,520787,637963,364089,273874,139581,68968,70613,279896,137339,142557,499260,291858,207402,1008061,12570,5284,2941,521,1495,1417,61.77,101.72,71.12,52.59
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,750278,743706,951639,542756,408883,224942,112111,112831,505609,250473,255136,690167,429211,260956,1422986,17332,47653,2117,781,409,1782,63.7,99.12,72.34,54.98
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,1344345,1289855,1939994,1059692,880302,134952,67980,66972,305125,153657,151468,1072969,753843,319126,2239370,227465,17452,7477,121791,12260,1159,73.65,95.95,78.83,68.25
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,2048186,2015686,2629749,1493158,1136591,724250,362284,361966,476446,235271,241175,1757664,1099964,657700,3881485,103038,23181,16707,8397,17137,10680,64.71,98.41,72.9,56.39
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,1193129,1166757,1187941,694686,493255,115652,58281,57371,1300628,652799,647829,1155807,649888,505919,2126195,81442,97432,2303,1287,623,48295,50.34,97.79,58.22,42.28
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,124659,66514,150348,104316,46032,4262,2224,2038,15240,7702,7538,105521,94502,11019,171537,16087,2618,169,216,244,79,78.64,53.36,83.68,69.21
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,1404356,1338726,1842818,1046981,795837,265793,136319,129474,55571,28463,27108,1123709,801859,321850,2397056,334858,2586,1110,1291,3841,77,67.18,95.33,74.55,59.45
